Gene names  (primary ),log2fc,sem,stat
ACTN3,-0.12258205376967268,0.10067955662909728,-1.2175466189354016
ACTN4,-0.1217431578731194,0.11457531002110978,-1.0625601436355616
ACTR10,-0.8189066123212463,0.5227982195304185,-1.5663913566056034
ACTR1A,-0.03420897781839827,0.11215277712353199,-0.30502122814772914
ACTR1B,-0.19825911449841982,0.17589926808590817,-1.12711733627903
ACTR2,0.3744544594140464,0.1644311225023328,2.2772724148297048
ACTR3,0.08599262130605112,0.07011867431348753,1.2263868669506517
ACTR3B,0.03790067832027688,0.1766595587144144,0.2145407732029187
ACTR5,-0.06341943189250543,0.23229529523200063,-0.2730121237675797
ACY1,-0.08894939699323601,0.4244711044481751,-0.20955347975658517
ADA,-0.4277801660300362,,
ADAM10,-0.17849637889772296,0.20111204916300954,-0.8875469154662352
ADAM9,-0.3586004540176617,0.16120620626389617,-2.224482929836021
ADAP1,0.3257156621084647,0.15130311213934042,2.1527360376335256
ADAR,0.24908827078425233,0.18215454006475698,1.3674557367370588
ADAT3,-0.17981001788394835,,
ADCY7,,,
ADD1,0.6483646266066536,,
ADH5,0.21111125174253687,0.3655049312381992,0.5775879713233085
ADK,0.26878718200314466,0.2576463125905747,1.0432409425951068
ADPGK,0.38947547867450893,0.270328354134327,1.4407496391628138
ADRM1,-0.019469269565249192,0.1560063323546056,-0.12479794423341191
ADSL,0.08793613176333537,0.18005851757305325,0.4883752957016208
ADSS2,0.33308759933042964,0.27390187412875716,1.2160836810260385
AFDN,-0.21108733463941576,0.3562894425472337,-0.5924602568357934
AFG3L2,0.39515157756013153,0.37463918666826557,1.0547523900910805
AFTPH,0.26735912704294407,,
AGK,-0.9178671020742577,0.39618829945623557,-2.316744596783956
AGL,0.027109983852621866,0.2682593189195957,0.10105887080384124
AGPAT2,0.4263203433564513,0.3889540427257928,1.09606867785406
AGPS,0.08436968617556317,0.12035626609281128,0.7009995317610013
AGR2,-0.04315993693789011,0.3026314334130064,-0.14261551237801853
AGR3,-0.18178034833855605,,
AGRN,-0.11388556924112336,0.26386330302913463,-0.4316082150633452
AHCY,-0.2068761580598526,0.20918642825308653,-0.9889559269569878
