OMICS_ICL103_NS1_7hr_Protein_1_068,OMICS_ICL103_NS1_7hr_Protein_3_030,OMICS_ICL103_NS1_7hr_Protein_3_030.1,OMICS_ICL103_NS1_7hr_Protein_4_010,OMICS_ICL103_NS1_7hr_Protein_5_039,OMICS_ICL103_VN1203_7hr_Protein_1_055,OMICS_ICL103_VN1203_7hr_Protein_2_060,OMICS_ICL103_VN1203_7hr_Protein_4_004,OMICS_ICL103_VN1203_7hr_Protein_4_004.1,OMICS_ICL103_VN1203_7hr_Protein_5_075
ABHD14B,21.903178879574597,22.7803855663277,22.30078793218365,21.865585054728363,22.387464075716096,21.721935444612647,21.88436304248868,22.29834930481602,22.17251616711351,21.771369825786923
ABI1,21.180353280564614,22.067346137719763,22.651408259509864,21.484757556179314,22.54744582783658,21.51581154834044,20.802173128651567,21.84651339396337,21.66743266058672,21.154472702704936
ACACA,22.273493139089418,21.942772097781962,21.921616281984186,22.210459630161544,22.11890553219121,22.325159088748123,22.04784726531637,22.197695080505653,22.265796233027725,22.34514170262259
ACACB,20.57105453180946,20.297292017902908,20.852104276838684,20.52208719393326,20.300114462280614,19.533589658356956,20.71453880294424,20.00904641851087,20.304779317033148,20.44345899125512
ACAD9,22.098150825823723,21.759530499974694,21.426461559859032,21.756789831485698,21.713219018363112,21.74480431697085,21.5799007236897,22.271530349858907,21.667478666636462,22.29632913231781
ACADM,18.597295577564665,18.845311251056078,17.619620926111224,19.132809837764558,17.516338067695003,19.260136742112888,18.673709319513478,18.869219663555114,19.38125256550735,18.66446090659131
ACADVL,19.958339948319054,20.445607837504742,20.375619088015902,20.983783538113755,19.520455882989886,22.276859584079716,20.026770970272555,21.423848173018424,20.970722611685268,21.323951441123132
ACAP2,22.483041562750685,22.625618913436416,23.09342934536219,23.84686504273213,22.521264917064634,22.538576476720923,22.56904391910724,23.08054837448116,23.01240728938703,21.881325651760786
ACIN1,19.717149050012843,20.359807574711382,19.18203842752976,20.391386066867778,19.35656606629199,21.609201764741663,19.844588398108755,21.030630876078824,20.476572047698557,20.88018283408511
ACTL6A,21.50105421557184,21.86082055228946,22.558981627471546,22.355863682134817,21.891078224278964,22.054347841503493,22.07183868823245,22.45077047650311,22.312231712656256,22.432134488271444
ACLY,22.54497078396007,22.14609619337881,22.326182611029665,22.121599171886274,22.51212528133464,22.45875004391189,22.24246562921095,22.716876361129547,21.722471541732737,22.378268756041592
ACOT13,23.323755943625187,23.40385350634987,22.956653242393926,23.556522655000418,23.877058798299302,23.893723388060653,23.56706376899287,23.689932885867016,23.46557810636545,24.45297014074317
ACO1,21.60785476601652,22.411533488562448,22.3901848496387,21.529696567913522,21.822310392407914,21.81745897550084,22.186386513052188,21.91976844285268,22.587129779827144,22.12330159660511
