OMICS_ICL103_Mock_18hr_Protein_1_067,OMICS_ICL103_Mock_18hr_Protein_2_098,OMICS_ICL103_Mock_18hr_Protein_3_050,OMICS_ICL103_Mock_18hr_Protein_4_116,OMICS_ICL103_Mock_18hr_Protein_4_116.1,OMICS_ICL103_Mock_18hr_Protein_5_023,OMICS_ICL103_VN1203_18hr_Protein_1_111,OMICS_ICL103_VN1203_18hr_Protein_2_013,OMICS_ICL103_VN1203_18hr_Protein_3_038,OMICS_ICL103_VN1203_18hr_Protein_5_083
ACTN3,27.22976833849672,27.3717881554877,27.42245486921948,27.049509271331374,27.226775379053187,27.078912891948736,27.38290189157845,27.17074157825585,27.074329109227488,27.468841671261437
ACTN4,26.282725200364446,25.864536876914208,26.109309055145467,25.810841328714012,26.07158135061014,25.605852672197464,25.973811923196834,26.30831751578602,26.12903662274004,25.995588749291755
ACTR1B,21.8879340287253,22.71109169782101,22.563593191052583,22.25514248128895,22.800486701400658,22.424059785863783,21.993542545141775,21.970372105081744,22.25393411605461,21.974990205018038
ACTR1A,22.15333404772357,21.85340792449003,22.39674673303918,22.610049150641007,22.554453957000316,22.455148591475748,22.20250936807098,21.970372105081744,22.149225528381365,22.10692563080903
ADAM10,21.779972051243753,20.938090490174577,21.192513489805243,21.946078568538944,21.377522588085483,21.41862761341857,21.445861727109715,21.661357099247056,20.954076574507585,20.837014081131578
ADAM9,20.189677509456978,19.806774207401617,19.09555540638519,19.436366628397312,20.330251937000405,20.62364874990995,18.928796852770663,19.139347820970393,18.678369897179202,18.658283494565183
AGPS,20.67842651874205,20.551496993038533,21.023502633358003,20.467987541335503,20.702544324376177,20.824370598614315,20.441595364140014,20.51892594212002,20.86215961839217,20.51249614178193
ADH5,22.404325436545392,22.345028770455095,22.845043955803742,22.612126050147143,22.80267465339764,21.969340241026785,23.186682379616425,22.76587764395818,22.578679197871534,22.237618394721665
ADK,21.754759869956345,21.873825714891424,22.925259294601588,22.75125530096246,22.27710760604686,22.337642566032052,22.20595821909841,22.49061318847174,22.013563665359698,21.92458721096992
ADRM1,20.51740512610629,20.3426403210422,19.936975423412246,20.254292476666635,20.43693337446654,20.577506359161873,19.998786775961943,19.943577976768356,20.772279105025035,19.669451158322893
