OMICS_ICL103_NS1_18hr_Protein_1_066,OMICS_ICL103_NS1_18hr_Protein_2_082,OMICS_ICL103_NS1_18hr_Protein_2_082.1,OMICS_ICL103_NS1_18hr_Protein_3_102,OMICS_ICL103_NS1_18hr_Protein_4_090,OMICS_ICL103_NS1_18hr_Protein_5_016,OMICS_ICL103_VN1203_18hr_Protein_1_111,OMICS_ICL103_VN1203_18hr_Protein_2_013,OMICS_ICL103_VN1203_18hr_Protein_3_038,OMICS_ICL103_VN1203_18hr_Protein_5_083
PGD,19.636902641004042,20.09947004419195,19.849778957042677,21.207735803109706,19.225030285805417,20.08676134160619,20.80502702622821,20.009080502953555,19.533976323383087,20.57296190599729
PGLS,22.005356260807613,22.063974999963527,22.293751897554284,22.349906676748937,21.80705117125983,21.59569124804036,22.644840118927647,22.73729932368697,22.379913655198244,20.29353720033003
SLC1A5,24.01372096942675,25.34984701817659,24.49133700398551,24.445192039349504,24.362106043492567,23.99101005254947,23.716763430198938,23.78921018798387,24.333342278277478,24.20601758830981
PRKAG1,17.32479642062129,18.355029867303735,18.11774745724892,17.762434074094283,16.964199042818294,18.647317166358803,16.21155552746681,16.287881530521855,18.290995223188922,18.516494208036605
PRKAA1,17.5522150521021,17.930527694385322,16.45257230919313,16.999271543827806,16.725222034833287,16.35696407625474,15.71210689282289,17.460628131030173,16.430379944054486,15.394666791125836
GOT1,18.969870426132847,19.502086577379828,18.80349948875464,19.064512643155943,18.483522090601703,18.72274004960004,19.101708330062905,19.046500831474585,19.23366934094561,18.198783570100147
GOT2,24.077086604720225,24.3734517185276,24.663013446393997,24.87816724435014,24.526198655201906,24.577915528734863,25.03970422592922,24.55562895121907,24.52925001901421,24.307311487143018
ABCB7,25.323642351350315,25.17595199122038,25.35176697490298,25.40624829044333,25.54669419285572,25.18827689327562,25.011018689511936,24.61625453153217,25.16675941808986,25.64675441914833
ABCD3,20.90423112450366,21.35018650575024,21.45902706476151,20.508299978505725,20.617246395639242,21.053238542186946,19.668315782383218,20.339566073487404,21.056774579859837,20.796494433187068
ABCE1,22.87649906707143,23.385192155905543,22.945115418750458,22.92799423611984,22.78530215799677,23.325561885177763,22.644246654293926,22.101872134051515,23.24667697469217,22.86127514627355
ABCF1,20.782139776088144,22.736116166040773,20.73074751660458,21.23433615502501,21.431046188119502,21.073311576696376,20.893529803265057,20.792078754993987,20.754743142166127,20.851185932197016
ABHD14B,21.93896338115003,21.848627067418654,21.974225158021333,21.889890733062153,22.05147370114302,21.149036081556034,22.242852835871517,22.1231998084763,21.79451031355808,20.65954047750206
ACACA,21.9482456871782,22.294698072866865,22.121016814906266,21.857939849034533,21.90169867246483,22.19383003627695,21.98197191002938,22.159592207078198,21.965099225518127,21.859200162892655
