OMICS_ICL103_NS1_24hr_Protein_1_029,OMICS_ICL103_NS1_24hr_Protein_2_084,OMICS_ICL103_NS1_24hr_Protein_3_051,OMICS_ICL103_NS1_24hr_Protein_4_071,OMICS_ICL103_NS1_24hr_Protein_5_011,OMICS_ICL103_VN1203_24hr_Protein_1_117,OMICS_ICL103_VN1203_24hr_Protein_1_117.1,OMICS_ICL103_VN1203_24hr_Protein_2_095,OMICS_ICL103_VN1203_24hr_Protein_3_113
SLC3A2,24.136237344290414,23.92509607852227,24.090619579432925,24.29564909836874,23.915290092280376,23.97584992214572,24.195887039063983,24.03432073971534,24.084950424231454
PGLS,21.79587111602139,21.410604294906836,21.87922858901551,21.95499189142158,22.129920805833066,21.2180249786935,20.676390660064634,20.99689102492443,21.215427025802686
SLC1A5,24.340782288597836,24.365671924113492,23.386714902995852,24.351938785270175,24.98563316570483,24.52500065211383,24.000619803614008,24.22527475244795,23.227282789655032
PRKAA1,16.560784290264092,16.28986124921839,16.984790138636654,16.96915199524426,16.527574501421597,16.001755121915583,16.97363699481896,16.668537121433058,16.626063516434083
AARSD1,20.11179557612343,20.157661771036377,19.74340994258413,19.474365620668607,20.45589183084875,19.63242052870573,19.915943027430483,20.060921055448937,20.12217200296216
GOT1,18.616698948764544,18.998852059933572,18.85665107977283,19.099297347805788,18.693774025502222,18.351775229134603,18.63337418084846,18.647363171276027,18.27304910930008
GOT2,24.67575691286904,24.79029115119303,24.56738261525737,24.45302435472767,24.579943784657047,24.941345605522443,24.40787854853196,24.516877950564695,24.52704973252044
ABCD3,20.861260510206257,21.335218681290637,20.97187837872302,20.976709883988768,20.883286795730253,21.422164791504116,21.352894004264165,21.29112094652804,20.86413684585549
ABCE1,22.95245333430219,23.28139194854017,23.054271749488922,23.05685838583122,22.39548149501298,22.739486901669025,23.41246502349614,23.000111268119213,23.157079470188258
ABCF1,20.10442420042321,20.589228946425017,20.973644763700353,20.91784063529745,20.52722112006162,20.90400758044035,21.138397562789958,21.14354499009906,20.662018413830587
ABHD11,19.323732781744646,19.777329903189518,19.860473922194515,19.57712898853323,19.388373712979337,18.8120084573457,19.749046598693482,19.538568606053925,18.990354822100333
ACACA,22.148832447712984,22.34859070403924,22.238246943159723,22.39862055493882,22.18497648300798,22.32857361939705,22.259970716856998,22.284470847645455,22.07725607717876
ACACB,20.287199629871765,20.396076773748188,20.28549552549235,20.65684852310765,20.323029204153165,20.434916936731817,20.498233842770738,20.40848652959096,20.484128488484473
ACAD9,22.26461127073439,22.126193211891017,21.917557584599646,21.5476529415699,21.062584083463776,22.171806829027545,22.08823466639536,22.173921948971774,22.027947362395675
ACADVL,20.74091061857341,21.080464851296142,21.14896478458681,21.82865773332889,20.12017642570347,20.6541376941583,21.21246120707611,21.529612537546583,20.434672040637576
ACAP2,22.162686571484738,22.805780999863682,22.145793794253034,22.91095141667171,22.74961945900796,22.170838235519916,23.120591698348058,22.751216465287765,22.00893280504439
ACIN1,20.604811590053423,20.663425503075267,20.65016915056063,20.114371066829847,20.59280851232727,20.346799166801443,20.322601032165302,20.58377327803829,19.182670132938387
ACTL6A,21.910832349585235,22.307322829151953,22.106682298486728,22.592894884730693,22.333405039267213,22.17637980405974,22.129934835130097,22.208484796332545,21.69331235505323
ACTL6B,22.20488469727547,21.745626669495287,21.272817686426556,21.170982989004003,22.53283299407675,22.203661943707537,21.79383730067041,21.976584528653337,21.134859217346563
ACLY,22.022649627409734,22.45938557908897,22.031247719817614,23.145063931098537,22.774568321975707,22.159329750968677,21.913812704020415,22.119736362576685,22.33451717776792
ACOT13,23.218110420641274,23.807130291710664,23.98846170135947,23.87528343059936,23.811732375870626,24.327047476747182,23.28629966404513,23.592867871279427,24.11922222757982
ACO2,19.522948819422783,19.871924912937466,19.71017557017015,20.004032899179517,19.772938220659995,20.067812853392844,20.162673042792626,20.235813516459487,19.517185715651514
ACOT9,19.68980431323635,20.015579560122074,19.673275005592373,19.665164505330715,19.78549809740078,20.3273224624124,19.85203360356101,20.088998814428184,19.938462834192446
ACSF2,17.519675043434766,18.92525982405429,18.432766199225796,18.76105903321138,17.78288046805464,17.94051309039586,18.5944454499223,18.315524180768392,17.083638607599852
ACSL1,18.594767610753657,19.34178829437222,19.11869657973795,19.66469157134697,18.818304131934187,18.956576782787437,19.426880148299084,19.039481710547065,18.229735921698023
ACSL3,21.89787378409799,21.754244893765488,21.374059079854923,21.60120086971114,21.60592376127599,21.950725505534344,22.576934292189023,21.997418515858303,21.146647024188052
ACSL4,18.189942324493153,18.74002010070113,18.52515472506294,18.396179271261705,17.783421321255787,18.65424899264613,18.135280539079066,18.433239098118495,17.88094611090405
ACTA2,28.781767576946752,28.64776608812225,28.826104021674947,29.43838783616101,28.360607143094196,28.421390307553843,28.86204214583782,28.74137224988964,29.339207825219706
ACTBL2,28.596872830716823,29.008803414915402,28.430614761001827,28.532994568316226,28.13332549621576,28.61452695526716,28.886208254899955,28.54985866614571,27.95329295949761
