OMICS_ICL103_Mock_24hr_Protein_1_072,OMICS_ICL103_Mock_24hr_Protein_2_046,OMICS_ICL103_Mock_24hr_Protein_4_001,OMICS_ICL103_Mock_24hr_Protein_5_107,OMICS_ICL103_Mock_24hr_Protein_5_107.1,OMICS_ICL103_VN1203_24hr_Protein_1_117,OMICS_ICL103_VN1203_24hr_Protein_1_117.1,OMICS_ICL103_VN1203_24hr_Protein_2_095,OMICS_ICL103_VN1203_24hr_Protein_3_113
POTEKP,32.096620282550745,32.45665918423903,32.24470665331678,32.37975872101476,31.89178202069926,32.716875608371865,32.125839657066095,32.04213242893255,32.737496839539865
ACTB,24.2273472441145,22.901753511412487,24.31993495062941,24.237811617238087,23.942408835709756,23.644081707474754,24.156161838700054,24.507793224663402,23.60464461488043
ACTN1,21.54977041595112,19.924253265011004,21.21658916847251,20.866783372788607,21.530600940724575,21.684910384311294,21.314243903767974,21.772000207532734,20.86568307942385
ACTN2,18.73450449152078,19.012404917473024,19.10404965618782,18.92600135548295,18.678936322758602,18.363696951386274,19.03418542388998,18.82263207155819,18.836393190574256
ACTN3,27.392231326273084,26.845572578716837,27.256432641894207,27.407047634399095,27.166707632706217,27.572410210134837,27.328640952308234,27.53536787755049,27.384898510900936
ACTN4,26.072902381350524,26.006727682115944,26.08628254269926,26.04036743098647,26.086529245528077,25.82833210872418,26.03403775859244,26.128355558215574,26.055749830500666
ACTR1B,22.420605976702273,22.134055578018874,22.251656904654432,22.290437142251484,21.72963810581453,22.740851742114103,22.38333699279292,22.510709994424445,22.494911816111774
ACTR1A,22.248613467079537,22.113085044291488,22.54229086894655,22.352997713519017,22.12788970741058,22.740851742114103,22.38333699279292,22.523745253625126,22.494911816111774
ADAM10,21.403780582651788,20.98450126707959,22.23590692782955,21.581747359697285,21.63971227357191,21.293733316022564,20.717855966281984,20.510807538661595,20.04255883415022
AGPS,20.655746631990073,20.518572538341896,20.8472238152867,19.390683296793476,20.62702961802261,20.922970287394023,21.032405770740972,20.92868058570253,20.59119688766922
ADH5,21.975494575328376,21.811990941315344,22.6205998270147,22.72782951620023,22.866690017861515,22.38621377435954,22.03610415972826,21.977337274889784,21.71465354511597
ADK,20.59821195454223,22.096880407393762,22.30370372531442,23.165622665080143,22.839268709441768,22.784284960792412,21.54735097973814,21.575929390899677,20.887265996188106
ADPGK,19.308307909551043,17.596409230659024,19.607468806515048,18.969419805140745,19.04671417375769,18.451366556212054,19.737780384004697,19.64635448329198,19.20593527933475
