ICL103_Mock_0hr_41,ICL103_Mock_0hr_42,ICL103_Mock_0hr_43,ICL103_Mock_0hr_44,ICL103_Mock_0hr_45,ICL103_VN1203_0hr_46,ICL103_VN1203_0hr_47,ICL103_VN1203_0hr_48,ICL103_VN1203_0hr_49,ICL103_VN1203_0hr_50
HACL1,12.5639558411502,12.516531425572,12.8801385645663,12.9796453772738,12.9724791005862,13.1657988242018,13.1045392101153,12.9232029685546,13.1619328875166,13.0967125856446
OGFOD1,11.0752300379158,11.0310332003684,11.1681307700156,11.2897587815719,11.3218885823304,11.3450336431311,11.1834524558064,11.2051281189444,11.4247396560209,11.2758618316348
OGFOD2,8.55105493251396,8.446858140933385,8.92981157440121,8.79278448761264,8.850735484127465,8.903456263558734,8.536794957502055,8.703670185671694,8.968944197805886,8.849417616257234
DHCR24,14.1936229436767,14.2547512742286,13.738827379203,13.7069652478725,13.4489315716276,12.7280610353231,13.4090907085174,13.5323816284338,12.1729729360277,12.6403971493751
BPNT1,7.90431477246797,7.833571386498836,7.70025778113276,7.70648887742004,7.666698274864444,7.865663873310876,8.153369716813419,7.997110340680916,8.192094281742971,8.08596861389206
PAPSS1,11.9455656268842,11.9278723253932,11.1275786415728,11.0845089411956,11.2201092397406,10.8591782142735,11.1338600030989,11.2031216359857,10.5789239434186,10.6531358493597
PAPSS2,10.1437298064849,10.3649762484449,9.83779963733159,9.7346948815284,9.69463691739632,9.07848193615965,10.4021899144595,9.97992080168169,8.63805897396088,8.95449038069597
HMGCR,14.0263001512897,13.9912925171584,13.9832573811649,14.148298703962,14.0912322522471,14.1833338389942,14.305185278527,14.1357332175387,14.1090515548122,14.137333294087
HMGCS2,6.86947684565997,6.96572890630073,6.84125488547303,6.88888959321939,6.87360331671504,6.91796958255514,6.94838445956282,6.85528977185208,6.90037995949155,6.89609288342966
HAAO,7.390374218183309,7.267114910179015,7.559748765671975,7.632455189144645,7.65082928120803,7.7217157724219945,7.651168115747385,7.487794288852594,7.7648206631950805,7.67396665143191
BDH2,7.33113370943942,7.31458693018932,7.35128103562496,7.22409535406944,7.22779753975157,7.36831652511523,7.55655102044791,7.28508628526295,7.48096272991585,7.49403730477957
HIBADH,13.1416629032426,12.7946985972439,12.5280187303058,12.6662084297336,12.7178568207568,12.6504638698315,11.2983339230086,12.6078284283991,12.4322478995503,12.3751731396752
HIBCH,12.3885988451484,12.404216497734,12.2738935099576,12.2582343486128,12.2940997703054,12.2723031404425,12.925950493671,12.5851338661335,12.4436619662742,12.4739811965533
HMGCL,9.10116222889503,9.02901625615895,9.38445369734634,9.23481961813139,9.04280145457921,8.78079312122244,7.29647286576154,8.42581208533955,8.2737238468143,8.70294274491097
HMGCLL1,7.4054747773273,7.46183596547827,7.51440149495887,8.10238419329877,8.00310230393585,8.200907718116444,8.181997816368021,7.7194319963689955,8.162232544083805,8.054649291225315
KDSR,10.88542079009145,10.87883910695105,10.72223657755395,10.6661198294752,10.751900180125,10.71819144610091,11.02212678480635,10.8423230520836,10.80726445215136,10.792360101999236
OXCT1,10.5896171609022,10.6442738195911,10.3175707640087,10.4834977800715,10.424239175201,10.4171396200315,11.0770488619811,10.6173389145542,10.0542847431052,10.3917002387631
OXCT2,6.4005436155789,6.43583302952111,6.5107082695727,6.44477539343706,6.42796405548045,6.38610131754475,6.46988647988,6.47361836843529,6.40976392414126,6.42607791241531
OXSM,12.0227899256594,11.9244826225374,12.4363337966329,12.4590773916228,12.4480691450828,12.635695838543,12.2558746171681,12.4468228604877,12.6491646219998,12.687727338303599
HOGA1,8.59451656554561,8.8180844774401,8.74964013596156,8.65239280848002,8.50103005407782,8.63410052022325,8.37556253299343,8.4038068789572,8.73053913712035,8.69344440351526
HPD,6.59414390586017,6.66968856877609,6.59815150153761,6.74839471064,6.75368964774027,6.767894939005,6.76180717925324,6.60161381652269,6.74910739458572,6.7519757946686
HPDL,10.7166954147694,10.7572147617015,11.2401383779606,11.2255983395091,11.2289945054193,11.4295792730764,10.8809581063676,11.1488889554694,11.332927397925,11.4728550967649
NT5M,7.92691004121499,7.88526407327077,8.1664064658383,8.10728780682773,8.03063529834358,8.40369051830213,8.13756669414488,8.17844118460333,8.40046720912947,8.38163200399668
XRN1,12.3634379969545,12.3481450771493,12.2949200358847,12.3810304645827,12.3588362194989,12.533698958666,12.8243083943342,12.6564035973555,12.7362371158959,12.6168256025452
XRN2,9.11290862739614,9.11022589515411,8.32900761945452,8.20771117929391,8.36865722727604,8.09697129815995,8.09115260998186,8.28972021140706,7.7865035657908,7.72655664850394
NT5DC1,10.3542325433392,10.47345501285335,9.99995258213393,9.850922765886306,9.97517224476427,9.562958436038091,9.89738531995477,10.030655263150031,9.401606063474455,9.61137600115213
NT5DC2,10.1765155212631,10.237887225794,9.76520279427602,9.72596964817409,9.71195262661741,8.88636078411019,7.83167835091364,9.37860715532949,7.97850632571291,8.54653710341023
NT5C1A,6.53427268055189,6.50912522077164,6.5107082695727,6.69447934964179,6.63201242036778,6.7629080087818,6.73937854548842,6.55669385844661,6.62882699601236,6.71668923262825
NT5C1B,6.599092509569941,6.6403402859635605,6.59132462990196,6.639057995002025,6.622611157198341,6.67871259239212,6.7292480184880805,6.65829320171826,6.705233039141881,6.704629952887069
NT5C2,8.30496129510327,8.06996434556266,7.885924810415895,7.773750539791726,7.823405901021665,7.236263637998295,7.156670350489815,7.626819403485565,6.949685250893285,7.09795883959018
NT5C3B,7.83104806710636,7.64402347779936,7.69307879781255,7.59123607030408,7.60202750061854,6.92969137608047,6.61119788005852,7.02093737841596,6.553075337051,6.74365529650133
MTHFS,13.3783166813311,13.3941132779432,13.7500584269789,13.6906035433352,13.7311587569058,13.9651150649115,13.7428079436887,13.705151616241,14.1113036938698,14.0290368550802
ATIC,12.9268365958243,12.8776613126482,13.1361878747487,12.9897989081046,13.0940475472512,13.0291111654249,12.6319894996062,12.974342630116,12.8643648425179,12.8900335806452
HTR1A,7.00527101630814,7.0023715951291,7.07914230035223,7.2650146595088,7.21062708152331,7.30595429997019,7.35456180045214,7.16186107031707,7.41889541984576,7.35787993807721
HTR1B,7.40742769672191,7.0220946132554,7.54096584308477,8.11633373552075,8.06709957774928,8.23241615286914,8.27159493246755,7.22546255963065,7.28187573293866,7.44476312988086
HTR1D,8.25253060746751,8.27112800800288,8.48461198587619,8.53146582099814,8.58115528444383,8.81149384330499,8.64819520515662,8.64848597450785,9.28392349447607,8.92810801677758
