Approved symbol,log2fc,sem,stat
MTR,-0.29377427854118654,0.0297667786466763,-9.869199553912388
OPLAH,-0.2994636481918107,0.03555192122141656,-8.423276096016243
PFKFB2,0.37897413014555736,0.0665710237304224,5.692779063759078
PFKFB3,-0.060812477513720875,0.01747397692937539,-3.4801738470587886
PFKFB4,-0.026993590389023936,0.045119119094306256,-0.5982738788096231
PGLS,0.05027685680320948,0.02233638227135212,2.2508952520790646
PTS,0.16217160190903535,0.0063716054018107945,25.45223561128669
DHCR7,-0.17208712573318286,0.02018354899091056,-8.526108357389496
AKAP10,-0.054807701932310326,0.013417727144534826,-4.084723242761279
AKAP11,-0.13704640667232537,0.016475583181581877,-8.318152089786425
AKAP14,0.2424456557006609,0.01742887825736639,13.910571416045677
AKAP17A,-0.02256716829631955,0.015470831780300976,-1.4586913371428643
AKAP3,-0.011962085865792282,0.015885454096972687,-0.7530213359196268
AKAP4,0.006104841545316209,0.01843943172091956,0.3310753627179442
AKAP5,-0.05639005250069973,0.015049080202655236,-3.7470763489419343
AKAP6,-0.015623660076996337,0.009130185005462822,-1.7112095831188858
AKAP8,-0.08629718315947921,0.022288697086643144,-3.8717912861400126
AKAP8L,0.19282500324123397,0.02174643453860684,8.866970946382416
AKAP9,-0.1817569897802218,0.02140629905568364,-8.490818020780807
AKIP1,0.04584424444160806,0.021763771227330385,2.1064476355107997
A1BG-AS1,-0.01767938946360914,0.005852436775569837,-3.020859539638127
TNIP2P1,0.03335581365401197,0.013479589677973774,2.4745422116607
A2M-AS1,-0.025911466933250527,0.04388941549993239,-0.5903807703543111
AAR2,-0.15672199504828432,0.011075325652052125,-14.150554121110256
ABI3,0.010943840366034685,0.04504463163908682,0.24295548587721888
ABO,0.12663642678289255,0.05417898353020272,2.337371772807394
ABRACL,0.009044689523946658,0.011383364127971725,0.7945532992063069
SDHAF3,0.1483347926599472,0.013172529794930499,11.26091912253897
ACTR3BP2,0.1241101744303581,0.048032192867639455,2.5838956545740883
ACTR3BP5,-0.03458034805779908,0.02601247834050541,-1.3293753715097645
ACVR2B-AS1,-0.10004926283848636,0.02783513350094568,-3.594351822853203
ADAM10,-0.18988931235393158,0.020842903945138158,-9.110501725371401
ADAM11,0.024139947713944565,0.03527210616925516,0.6843920121499886
ADAM18,0.02229406148574098,0.004785668062890001,4.658505603139949
ADAM19,0.07176059789054179,0.006544836695117723,10.964459654749417
ADAM2,-0.004850478122745194,0.010390297814779367,-0.4668276318168453
ADAM20,-0.01642278062403113,0.0088047597494443,-1.8652162116141362
ADAM21,0.013388973639440582,0.013229004356307528,1.012092314646248
ADAM23,-0.007422492574603812,0.0113967030755034,-0.6512841938084761
ADAM30,0.06768184953764678,0.01345001082565907,5.03210372206747
ADAM32,0.3373667461705727,0.018729168244843313,18.012905952909023
ADAM33,0.04912942015619759,0.04375884937815132,1.122731078498782
ADAM5,0.003423236808025365,0.00482253039646999,0.7098424533583274
ADAM6,-0.029276868969834613,0.010354357544298727,-2.827492564804749
ADAM7,-0.07177249261363183,0.028252177792242712,-2.540423366348014
ADAM8,-0.2270192006772298,0.029692285680239926,-7.645730043218262
ADAM9,-0.04194693492571755,0.03250872117509618,-1.2903286690296407
ADAMTS1,0.028609168870971757,0.05184102065853723,0.5518635340807159
ADAMTS10,0.014528883177523877,0.0766603767456298,0.18952272078876953
ADAMTS12,0.02961882832720608,0.009832866874697695,3.012227126091005
ADAMTS13,-0.1785671486274052,0.023917132835273677,-7.466076718194633
ADAMTS15,-0.009470838090273048,0.023815214419893822,-0.39768015199399886
ADAMTS16,-0.00499062627369673,0.01263833649164452,-0.3948799968252263
ADAMTS17,-0.057517198272885484,0.02179366576514574,-2.6391704311108515
