OMICS_ICL103_Mock_3hr_Protein_1_079,OMICS_ICL103_Mock_3hr_Protein_2_027,OMICS_ICL103_Mock_3hr_Protein_3_025,OMICS_ICL103_Mock_3hr_Protein_4_007,OMICS_ICL103_Mock_3hr_Protein_5_063,OMICS_ICL103_NS1_3hr_Protein_1_059,OMICS_ICL103_NS1_3hr_Protein_2_044,OMICS_ICL103_NS1_3hr_Protein_3_014,OMICS_ICL103_NS1_3hr_Protein_4_033,OMICS_ICL103_NS1_3hr_Protein_5_081,OMICS_ICL103_VN1203_3hr_Protein_1_085,OMICS_ICL103_VN1203_3hr_Protein_2_058,OMICS_ICL103_VN1203_3hr_Protein_3_076,OMICS_ICL103_VN1203_3hr_Protein_4_087,OMICS_ICL103_VN1203_3hr_Protein_5_008
PPP2R1A,23.125304208915786,23.170513945442273,23.32031203771525,22.97299457818845,22.68538833894847,22.926199219108568,22.594660666168842,22.519369127140365,22.536826573839203,23.01277161943918,23.033595045629575,22.905260028461647,22.915684288910295,23.032003491874274,22.833043753817517
PPP2R1B,22.949746927118092,23.034658979110272,22.639478252815827,22.923182668488074,23.11469085562783,22.518562883398022,22.60241795416747,22.591803388988943,22.988997707611432,23.080059821329726,23.303323277812673,22.829786766965142,22.89741585540792,22.94159988006075,22.62864996791731
PPP2R2A,21.05756584428885,21.020831398441644,20.608337772787163,21.17714051813922,20.834786956843693,20.981864364297344,20.336120832756535,21.023473027092372,21.13262990061279,21.195210460200588,21.286892343443327,20.991756762652763,21.046604410753496,21.047043038971296,20.800098312399065
PPP2R2B,21.05756584428885,20.859363978600367,20.27924043349315,21.131323451776815,21.293921784851204,20.771905008171476,20.791958538344904,21.00737736107528,21.028258896817597,21.261235026872043,21.044714388328394,20.796096397847624,21.027971498942993,21.100136804333115,20.73457170490875
HIBADH,20.86765044960191,20.854748687772656,19.30007747634403,20.55777831658536,21.042205009692516,20.03051270206843,20.619466302966664,20.793964829875723,20.899532236228403,20.5301044765384,20.81922619821668,20.62771391871755,20.49027997702754,20.95626707470955,20.484809623319013
MPG,20.288809974017365,19.64669009463,19.344243639950896,19.476420211220205,20.483853839838133,18.56988501959671,19.900123923116553,20.271540697137826,20.52084639342107,19.591980566671882,20.497435696648434,19.97390658916666,20.04725103726858,20.57844971893525,20.18598412075224
SLC3A2,24.495306435851397,24.098060105106654,24.459091344335217,24.46066998005259,24.348223780780003,23.970665314973992,23.986987227749566,24.204143590528247,24.329371006198954,24.131976479744925,24.300707326543904,24.518460021046135,24.593039032129813,25.267102744643534,24.574111693950627
PGD,19.41299343420602,20.042895181030552,20.25912348274153,20.207480423952788,20.136065041641064,18.743528592265378,20.264264404110357,20.051125949836972,19.65375329875655,20.324976117196364,19.717428720472217,19.541547472590544,19.67386026228593,20.073480761802884,19.698985925061084
AAAS,19.109552577080073,17.70537689372284,17.440205920598967,17.622381452088398,18.316059744066866,17.82722422300422,18.103548915099044,17.943950751559722,17.597865033748626,17.965647091333448,18.412034102802764,17.771338087207617,18.36858960967713,17.676006659390875,17.769950883599666
SLC1A5,24.70468462889415,24.096584536928912,24.18744297495003,23.694655543030343,24.30372517116266,24.36983522131395,24.220455344507144,24.724122993210727,24.681034075716987,23.597999572106097,24.94697779457827,24.978949102020266,24.567332371573674,24.94040878221611,24.480277739818366
SERPINA3,22.852547124659296,21.947259563022882,22.557818564622337,22.73891984790437,22.640966259928568,22.684120683542687,22.61221534111432,22.759672900186192,22.466782281378467,22.876101899561913,22.746967729195667,22.869741482655147,22.470663080209142,22.749414835031935,22.95231603561935
PRKAA1,16.519449623057973,16.455689374361135,16.640132427286318,17.034707102103923,16.803921783017458,16.344471016398657,16.960232862621154,16.44700236964628,17.069328955831914,17.042758098592664,17.481717507404724,16.80019751066058,15.684735249937464,17.207552387584624,17.072008036688718
GOT1,17.824444129332317,18.543375338692925,18.025979236995173,17.50955195543242,18.65349632563693,17.81863629086333,18.464517568082073,18.474632233345016,19.174683899815925,19.09336478640907,18.665105756846035,17.83048671480089,18.115954535256336,18.630113768373402,18.400032458292472
GOT2,24.55463119086746,24.566796197131936,24.505462727205334,24.647966151354613,24.706373224964082,24.350259679917706,24.718612666945305,24.733149006443753,24.59286011525616,24.837824946396246,24.82995935657018,25.110834688201734,24.23172650240843,24.51484554821501,24.629373552605816
ABCB7,25.360143224918264,24.46794300138606,24.88723290209864,25.173254262614268,25.254364894365345,25.460858626970015,25.420905112075143,25.342932890393946,24.76217866633448,25.05876025690283,25.14588769301893,24.849491120639485,25.246946579665412,25.140051364273162,25.183224401260095
ABCD3,21.093406317178776,20.83351442692811,21.203870575046533,20.437141476602264,21.23437839893461,20.29297218500707,21.093977385777876,20.766267598192364,21.33294455696698,20.70621883371747,21.309636087785623,21.04428273981165,20.99327645806291,21.200865851577007,20.992326936523504
