"","stat"
"ANP32A",-1.01818435309031
"ANP32B",-0.703546003019527
"ANP32C",-2.77628652889301
"ANP32E",-0.506610724784638
"ANXA1",-2.34888067991942
"ANXA10",-0.15388579258099
"ANXA11",-0.534786434566119
"ANXA2",0.469073586406309
"ANXA2P2",0.38443530384767
"ANXA3",0.473747379249483
"ANXA4",0.0716654504701818
"ANXA5",0.710515238766317
"ANXA6",-0.692596489557423
"ANXA7",-0.829486133841569
"AP1B1",1.21880414755546
"AP1G1",-0.321075784258361
"AP1M2",0.94950699568153
"AP2A1",-2.45804329294846
"AP2A2",-0.596082542319753
"AP2B1",-1.1129600659193
"AP2M1",1.22365129124736
"AP3B1",-0.447576401212782
"AP3D1",0.639112527281434
"AP3S1",-0.0397821982349064
"APEH",-2.48973336701916
"APEX1",-0.168054459886873
"API5",0.718590310245701
"APLP2",1.03725767778215
"APMAP",-0.138082099764265
"APOBEC3C",-1.27917111481168
"APOL2",-0.870071157951095
"APPL1",-0.142032947358921
"APRT",-2.24412205707515
"AQR",0.208928605205373
"ARCN1",-0.60108361287223
"ARF1",-0.825370911844524
"ARF3",-0.673157863591733
"ARF4",-0.041259498313379
"ARF5",-1.05114571396397
"ARF6",0.0238994106408503
"ARFGAP1",0.916063076238497
"ARFGEF1",-0.0455728485444872
"ARFIP1",-0.1727027145806
"ARFIP2",-1.50522327592134
"ARHGAP1",0.347648423123591
"ARHGAP17",0.793082378353499
"ARHGAP18",-0.473408022743058
"ARHGDIA",-1.5456153138936
"ARHGDIB",-1.26740961952333
"ARHGEF1",1.64416658800752
"ARHGEF6",0.9636529551657
"ARL1",1.21938362586606
"ARL6IP1",1.20956329607351
"ARL6IP4",1.94335902246979
"ARL6IP5",1.32912112552917
"ARL8A",-0.366077514172857
"ARL8B",-0.229447207280648
"ARMC1",-0.657350791056862
"ARMC6",0.383620861686514
"ARPC1A",0.193694104249556
"ARPC1B",0.879839769763459
"ARPC2",1.48811219570639
"ARPC3",2.21583173665837
"ARPC4",0.434014840085168
"ARPC5",-0.972006302041635
"ARPC5L",-0.303653311365295
"ARSJ",0.647421108622139
"ASAH1",0.689022123858246
"ASCC2",-0.601184403006076
"ASCC3",-0.504369481394272
"ASNS",-0.733724850403351
"ASPH",1.07778233181343
"ATAD1",-0.940276840070372
"ATAD3A",-1.48612114209537
"ATAD3B",-1.48612114209537
"ATAD3C",0.463393608150243
"ATG3",1.74617053570948
"ATIC",-2.25735520222316
"ATL2",1.3108365554167
"ATL3",1.03731616153936
"ATOX1",-4.207028257034
"ATP12A",-0.622489411962482
"ATP13A3",-0.647614863512532
"ATP1A1",-0.900412109294069
"ATP1A2",0.538084838621977
"ATP1A3",1.61507064620728
"ATP1A4",-0.159030607649763
"ATP1B1",-2.59441289628849
"ATP1B3",-0.633024110290381
"ATP1B4",-0.637373888071854
"ATP2A1",0.0330313397727788
"ATP2A2",1.66240034470547
"ATP2A3",-0.00972020671312773
"ATP2C1",1.14058311730246
"ATP4A",-0.227525097468674
"ATP5F1A",0.271082031381432
"ATP5F1B",0.675400724730466
"ATP5F1C",0.0304898526006233
"ATP5F1D",0.490266302909408
"ATP5F1E",-0.593864721398947
"ATP5ME",1.7347549356696
"ATP5MF",0.698179464618226
"ATP5MG",3.80102222539455
"ATP5PB",0.0853194280967665
"ATP5PD",0.107111301969042
"ATP5PF",0.4447897893665
"ATP5PO",2.7220579410387
"ATP6AP2",1.25976096016588
"ATP6V1A",-0.680257374000311
"ATP6V1B1",-1.08756980692281
"ATP6V1B2",0.369235146216398
"ATP6V1C1",-0.538944122285878
"ATP6V1E1",0.352408556774574
"ATP6V1G1",-0.996862226798705
"ATR",0.244116134722701
"ATXN10",-1.0873993073251
"ATXN2",-0.843860787518872
"ATXN2L",-0.471351841820785
"B2M",-0.416649886140215
"BAAT",-0.13781378388675
"BAD",-0.740395908250733
"BAG2",0.384901676320779
"BAG3",1.28664055640484
"BANF1",2.45986183107561
"BAZ1A",-1.16948512837964
"BCAP31",0.579713016362775
"BCAS2",-0.098052893389471
"BCAT2",-0.34075596855558
"BCCIP",-0.105009874161268
"BCL10",-1.05174275750199
"BCL2L1",-0.3099261186236
"BCLAF1",1.99526615991234
"BCOR",0.334802136573247
"BICD2",-0.645666877244676
"BID",0.952719574635313
"BLMH",-1.82340766911729
"BLVRA",1.38347731491469
"BLVRB",-2.14490297180283
"BOP1",0.820198025502929
"BPNT1",-3.09886537868117
"BPNT2",0.951028695462824
"BRIX1",-0.648930099047143
"BRK1",2.13803454687273
"BROX",0.380782155451981
"BSG",-1.05630452750131
"BTF3",-0.300376205178182
"BTF3L4",-1.00033664635537
"BUB3",-1.50028276325558
"BUD31",-1.54968029728487
"BZW1",0.611352096383099
"BZW2",-0.13443386395117
"C11orf68",0.688196550357882
"C12orf29",-1.2213533643936
"C16orf96",-8.32275218419193
"C1QBP",-0.757914342682073
"C1orf50",0.691890838703642
"C2orf69",0.679369461372472
"C7orf50",-1.78277140795781
"C8orf33",0.713127548876325
"CAB39",-0.536788226181079
"CACYBP",-1.2085544490029
"CAD",-0.896383913907572
"CALB2",1.12751084714625
"CALR",0.289057784801233
"CALU",-1.26538470816192
"CAMK2D",0.900311277476393
"CAMK2G",1.31554119413072
"CAND1",1.16381274848984
"CAND2",1.01776651910453
"CANX",2.42596887802304
"CAP1",1.56086337958668
"CAPG",0.195303740147128
"CAPN1",0.187989716827626
"CAPN2",1.24563509433144
"CAPN5",-1.91175860730797
"CAPNS1",0.120062816968967
"CAPNS2",-0.136639140830655
"CAPRIN1",-1.20973620691197
"CAPS",-1.37354898132719
"CAPZA1",-0.07538924858333
"CAPZA2",1.20509399438465
"CAPZB",-0.94387502890701
"CARS1",1.06929035071501
"CASK",0.0916197230899809
"CASP10",-0.611414880715025
"CAST",0.147161106202102
"CAT",-0.106068610563107
"CAV1",1.25569813076323
"CBFB",0.144667430500139
"CBR1",-1.21265453814196
"CBR3",-2.9674783542732
"CBS",-2.71428434724174
"CBWD1",-2.53069490047004
"CBWD2",-1.03370623647804
"CBWD5",-1.03370623647804
"CBWD6",-1.03370623647804
"CBX1",-0.985228768355397
"CBX3",1.68507702912506
"CBX5",3.20688338144372
"CCAR1",-1.58775559418315
"CCDC125",-0.297814858339423
"CCDC47",1.47110955853229
"CCDC6",-0.768059227538997
"CCDC85C",0.812133847327224
"CCDC86",0.40914385942272
"CCNK",1.33084271343691
"CCT2",-0.904256818296227
"CCT3",-0.374868957945276
"CCT4",-0.832040395181961
"CCT5",-0.875889939985063
"CCT6A",1.27331185338422
"CCT6B",-0.627649466647051
"CCT7",-0.930730882175258
"CCT8",0.185023853982085
"CD151",0.052859856737249
"CD2AP",-1.510332823666
"CD44",-4.64458038402054
"CD46",-0.209052600967871
"CD59",1.50762689213881
"CD9",-0.883533402696921
"CD99",1.58312441180538
"CDC37",-0.0618697231138207
"CDC42",-0.266033017916687
"CDC5L",-1.56567947586038
"CDC73",-1.96121949069955
"CDH1",-1.45841130367533
"CDH3",-5.43672198877285
"CDK1",-0.552701884058951
"CDK13",2.67705626048984
"CDK2",0.877678319452929
"CDK4",0.877678319452929
"CDV3",-1.44643220526382
"CELF2",-0.0389209120510209
"CEP112",0.0142921782075171
"CFL1",-0.559996456627989
"CFL2",0.245502238265687
"CGN",-2.83452249534606
"CHCHD2",-0.199967692987354
"CHCHD2P9",-0.0352957484898698
"CHD2",-0.694744156123299
"CHD3",0.128129254006187
"CHD4",2.69274676470549
"CHD5",0.411544488883061
